"x"
134
18
218
31
82
219
30
215
108
223
172
206
204
205
222
35
36
235
192
212
63
65
64
198
94
37
144
135
224
173
130
197
72
226
240
239
237
236
238
229
153
220
201
228
120
216
217
9
71
5
77
50
42
98
99
44
49
210
100
114
110
209
15
179
4
119
103
138
213
91
88
203
11
66
178
43
40
41
48
3
1
2
57
39
126
6
145
86
171
107
221
129
7
8
24
26
185
19
227
214
38
186
118
230
231
102
193
148
157
187
225
12
113
73
132
68
17
234
122
200
152
143
202
208
16
182
70
147
151
161
10
160
233
195
159
196
93
150
83
124
162
67
232
154
117
20
106
112
164
121
163
174
101
167
75
128
141
137
90
109
123
139
165
181
14
156
85
104
131
125
95
175
81
146
105
194
190
191
53
54
55
69
127
46
45
97
33
60
32
52
28
62
207
25
29
76
56
59
47
133
183
61
13
149
84
74
78
140
80
177
184
89
170
136
176
23
169
188
189
27
116
92
166
51
111
58
79
211
34
96
155
21
158
115
168
22
87
199
142
180
